deposit_chain,deposit_chain_id,withdrawal_chain,withdrawal_chain_id,bridge_name,bridge_version,deposit_block_date,deposit_block_time,deposit_block_number,withdrawal_block_date,withdrawal_block_time,withdrawal_block_number,deposit_amount_raw,deposit_amount,withdrawal_amount_raw,withdrawal_amount,amount_usd,sender,recipient,deposit_token_standard,withdrawal_token_standard,deposit_token_address,withdrawal_token_address,deposit_tx_from,deposit_tx_hash,withdrawal_tx_hash,bridge_transfer_id,duplicate_index
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 15:21:31.000 UTC,68882189,,,,0.045763054200631766,4.576305420063177e-20,,,1.0096839937447989e-20,0x96670be488fd5f0f459c978ac4cac69b0a0af89a,0x96670be488fd5f0f459c978ac4cac69b0a0af89a,native,,0x0000000000000000000000000000000000001010,,0x96670be488fd5f0f459c978ac4cac69b0a0af89a,0x8e2c916f228be8344b03c4f81a1a33d16890cf04be2635f05a613eb9e19e2d29,,cdebaa3e280d52a1b67df68729827a4a,1
polygon,,hyperliquid,9029,Orbiter,1,2025-08-10 00:00:00.000 UTC,2025-08-10 14:20:21.000 UTC,75035442,,,,29989029,29.989029,,,29.963838215640003,0x7f1045b9623c4ace4fee69a5b4d375c10b3efa56,0x7f1045b9623c4ace4fee69a5b4d375c10b3efa56,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0x7f1045b9623c4ace4fee69a5b4d375c10b3efa56,0xc7a58c25f5e69f888611426af389848f24f6d1519d88043382f67ad6a0d0f890,,a76ab0760855493eb719bc4c305951be,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-14 00:00:00.000 UTC,2025-03-14 18:41:37.000 UTC,69049024,,,,0.0509182253462574,5.0918225346257403e-20,,,1.1086119695288547e-20,0xebc0a2b6592496f73f6de3da834cb82da625bde6,0xebc0a2b6592496f73f6de3da834cb82da625bde6,native,,0x0000000000000000000000000000000000001010,,0xebc0a2b6592496f73f6de3da834cb82da625bde6,0x8819314f9510818d3c47c8d74109274603e1ca71a604788bdd74432229550f9f,,8dd083fc5acbd1b11f0d92c207314445,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 04:30:05.000 UTC,68904202,,,,0.05181357551175296,5.181357551175296e-20,,,1.0726653656745145e-20,0x3b153876563a4085ed10d235f264f6e9ab5dfe8d,0x3b153876563a4085ed10d235f264f6e9ab5dfe8d,native,,0x0000000000000000000000000000000000001010,,0x3b153876563a4085ed10d235f264f6e9ab5dfe8d,0x391b5b4037871b8f06000f62fb465ae8b8abfe3dc8beb7d80877dc932162bd8d,,85d0ca11bf0e2595c6877646ee626df2,1
polygon,,hyperliquid,9029,Orbiter,1,2025-08-05 00:00:00.000 UTC,2025-08-05 14:11:31.000 UTC,74832239,,,,21089029,21.089029,,,21.094744126859,0xbf6eea2db14ff4de498e9427b5cd38877ff6935a,0xbf6eea2db14ff4de498e9427b5cd38877ff6935a,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0xbf6eea2db14ff4de498e9427b5cd38877ff6935a,0x474571ef42b9dc2afef8824d87a83479be69182557e0b450a23101afac001a2c,,2d9c78501bf5d2f604dd9edc17b51de7,1
polygon,,hyperliquid,9029,Orbiter,1,2025-08-31 00:00:00.000 UTC,2025-08-31 09:11:12.000 UTC,75874840,,,,10209029,10.209029,,,10.210744116872,0xcad821825487226c7bab24c386912568c89c2f46,0xcad821825487226c7bab24c386912568c89c2f46,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0xcad821825487226c7bab24c386912568c89c2f46,0xd53b9d739e022984baaf139211d58b872d3cbba342a29c05a79b80b09ddc2dc2,,b8979bbbc182b212f6ba14282b0ba3fd,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 14:53:32.000 UTC,68881400,,,,0.05450709849062435,5.450709849062435e-20,,,1.1925717092960682e-20,0xb74e3feefd937ecac8d0e0a7c5dbe1e2645a875e,0xb74e3feefd937ecac8d0e0a7c5dbe1e2645a875e,native,,0x0000000000000000000000000000000000001010,,0xb74e3feefd937ecac8d0e0a7c5dbe1e2645a875e,0x763f8249c94109e49ec99b4ec718d58e4f8b644b5acd7506123b1c3db02bb818,,9ee9d6ce39abc09aa0c18766d57c62eb,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-22 00:00:00.000 UTC,2025-03-22 15:15:06.000 UTC,69365569,,,,0.051509808875613634,5.1509808875613636e-20,,,1.0800834274083045e-20,0x22dd292240e251107a77cad364fc743ce8add696,0x22dd292240e251107a77cad364fc743ce8add696,native,,0x0000000000000000000000000000000000001010,,0x22dd292240e251107a77cad364fc743ce8add696,0x474730d7c8a254e73835f5a837021f6ff628803e41eb0a101d3edf3d5a232f52,,35dc6db3c57df98bb94ea1492e2f6970,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 03:48:07.000 UTC,68903048,,,,0.05375669646508464,5.375669646508464e-20,,,1.1036411054371272e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0x927aee20689430dde55ba8632102f0fd506bbcbc0437f7cd85b7f3d5b2ca380c,,c1688c445222a10bb1c682600ad1d586,1
polygon,,hyperliquid,367,LayerZero,1,2025-09-21 00:00:00.000 UTC,2025-09-21 17:36:28.000 UTC,76730662,,,,3.0035871725300227,3.0035871725300227e-18,,,7.386902148633436e-19,0x6fb92ff6466db32f804fb7c699c393c66ec29eb0,0x6fb92ff6466db32f804fb7c699c393c66ec29eb0,native,,0x0000000000000000000000000000000000001010,,0x6fb92ff6466db32f804fb7c699c393c66ec29eb0,0x42add22c571dbc8cdc0545be2cb4899effbe6fa4e5bb8048e0dc56da899b15b0,,a52090f837ff7f50a70a83f84784acc2,1
